,Unnamed: 0,EmployeeID,Department,Age,Gender,Education,ExperienceYears,RemoteWork,HoursPerWeek,PerformanceScore,Absences,ProjectsCompleted,Satisfaction
390,390,E0391,Operations,43,Male,Bachelor,28,1,41,67,7,4,6
391,391,E0392,Marketing,35,Male,High School,20,1,35,87,7,2,5
392,392,E0393,Marketing,47,Other,Bachelor,14,1,38,68,6,6,8
393,393,E0394,IT,49,Other,PhD,26,0,45,85,5,2,5
394,394,E0395,HR,44,Male,PhD,30,0,33,62,1,5,9
395,395,E0396,Operations,35,Other,High School,14,0,32,95,6,6,9
396,396,E0397,Sales,45,Other,PhD,22,0,45,52,4,4,1
397,397,E0398,Finance,23,Other,Bachelor,23,1,41,59,5,3,6
398,398,E0399,Support,47,Female,Master,12,0,40,87,9,7,7
399,399,E0400,Sales,35,Female,Bachelor,21,1,34,50,7,2,3
400,400,E0401,HR,28,Other,Bachelor,32,1,47,76,7,6,7
401,401,E0402,Finance,24,Other,Bachelor,2,0,48,95,2,4,7
402,402,E0403,HR,44,Female,Master,18,1,35,57,6,6,2
403,403,E0404,Marketing,39,Female,Bachelor,22,0,47,95,0,4,7
404,404,E0405,Finance,59,Male,High School,28,0,35,91,0,4,1
405,405,E0406,Marketing,56,Male,Bachelor,29,0,33,66,6,4,5
406,406,E0407,Sales,36,Female,Master,24,0,41,58,9,9,9
407,407,E0408,Sales,46,Other,Bachelor,7,1,48,55,8,7,7
408,408,E0409,Finance,58,Other,Master,15,1,31,92,6,3,7
409,409,E0410,Finance,49,Other,PhD,7,1,46,74,9,3,2
410,410,E0411,Operations,31,Other,High School,0,1,40,88,4,6,8
411,411,E0412,HR,38,Male,Master,4,0,40,98,7,6,3
412,412,E0413,Operations,43,Female,Bachelor,2,0,45,77,1,4,8
413,413,E0414,HR,47,Other,Master,0,0,31,82,8,9,3
414,414,E0415,Operations,46,Male,Bachelor,3,1,31,86,5,4,7
415,415,E0416,Marketing,38,Other,Master,34,1,37,58,8,9,2
416,416,E0417,Finance,34,Female,Master,31,1,42,67,1,4,4
417,417,E0418,Sales,41,Male,Master,33,1,39,70,2,2,6
418,418,E0419,HR,46,Female,Master,24,0,37,51,7,2,9
419,419,E0420,HR,25,Female,Bachelor,9,1,33,92,0,5,5
420,420,E0421,Sales,31,Male,Bachelor,20,1,44,87,9,4,9
421,421,E0422,Operations,24,Male,Master,26,1,30,89,6,7,5
422,422,E0423,HR,39,Male,Bachelor,26,0,40,85,6,5,8
423,423,E0424,Support,57,Male,High School,1,0,36,99,0,6,1
424,424,E0425,Marketing,43,Male,Master,12,1,46,92,8,4,7
425,425,E0426,Finance,55,Male,Master,8,1,49,86,7,2,4
426,426,E0427,Sales,29,Male,Master,21,1,47,64,3,9,5
427,427,E0428,Finance,40,Other,Bachelor,25,1,41,77,9,7,6
428,428,E0429,Support,58,Female,Master,11,0,38,67,4,4,5
429,429,E0430,HR,27,Male,Bachelor,16,0,34,83,1,3,1
430,430,E0431,HR,47,Other,Master,13,1,39,71,8,3,9
431,431,E0432,Support,55,Other,Bachelor,13,1,33,60,5,9,2
432,432,E0433,Sales,27,Other,Master,33,0,34,62,2,5,9
433,433,E0434,Marketing,58,Female,PhD,19,1,39,53,6,3,2
434,434,E0435,IT,54,Male,High School,10,0,40,71,8,5,9
435,435,E0436,Sales,43,Other,PhD,15,1,39,56,2,2,6
436,436,E0437,IT,42,Female,Bachelor,30,1,37,92,1,4,9
437,437,E0438,Support,27,Female,Master,5,1,31,73,6,2,6
438,438,E0439,Operations,27,Female,Master,18,1,37,53,6,2,6
439,439,E0440,IT,25,Other,Bachelor,3,0,45,77,3,8,2
440,440,E0441,Marketing,51,Male,Master,3,1,34,64,8,1,8
441,441,E0442,Operations,32,Other,Master,19,1,32,50,7,7,3
442,442,E0443,IT,51,Other,Bachelor,9,1,41,52,0,5,7
443,443,E0444,Support,52,Male,Bachelor,23,1,42,63,0,8,5
444,444,E0445,Operations,45,Male,Master,34,1,42,87,4,1,3
445,445,E0446,Support,30,Male,Master,25,1,39,99,5,7,1
446,446,E0447,IT,24,Female,Master,20,0,33,50,2,5,8
447,447,E0448,Support,52,Male,Master,20,1,38,87,8,4,3
448,448,E0449,Marketing,58,Other,Bachelor,9,1,31,87,9,7,2
449,449,E0450,IT,57,Male,Master,3,0,48,70,5,2,1
450,450,E0451,IT,45,Other,Bachelor,19,1,30,97,3,1,4
451,451,E0452,IT,52,Female,Bachelor,16,0,36,78,6,1,8
452,452,E0453,Sales,27,Other,High School,6,1,46,54,7,1,3
453,453,E0454,Sales,23,Other,Bachelor,3,0,32,98,8,5,1
454,454,E0455,Sales,41,Male,Bachelor,28,0,49,59,5,7,4
455,455,E0456,Marketing,49,Male,Bachelor,13,0,49,77,5,2,9
456,456,E0457,Operations,32,Other,Master,2,0,32,70,7,8,1
457,457,E0458,Support,25,Male,Bachelor,23,1,32,99,4,4,2
458,458,E0459,HR,36,Female,Bachelor,15,0,46,56,2,3,9
459,459,E0460,IT,27,Female,Bachelor,3,1,36,52,2,8,2
460,460,E0461,Support,51,Male,Bachelor,23,1,43,94,5,2,3
461,461,E0462,IT,59,Female,Bachelor,33,1,46,96,1,3,7
462,462,E0463,Marketing,23,Male,High School,29,1,47,69,5,3,3
463,463,E0464,IT,36,Other,Bachelor,17,1,42,68,5,1,9
464,464,E0465,Sales,32,Other,Master,18,1,49,84,7,6,6
465,465,E0466,HR,29,Female,Bachelor,30,1,49,53,6,2,3
466,466,E0467,Finance,47,Male,Bachelor,18,0,47,54,7,1,9
467,467,E0468,IT,26,Male,Bachelor,18,0,33,50,8,2,1
468,468,E0469,Support,27,Female,Master,21,1,30,53,5,6,3
469,469,E0470,Sales,47,Other,Bachelor,23,1,47,61,2,4,1
470,470,E0471,Finance,25,Female,Bachelor,11,1,30,76,9,6,2
471,471,E0472,HR,40,Other,High School,29,1,42,91,2,9,8
472,472,E0473,Finance,41,Male,Bachelor,30,1,49,72,0,8,7
473,473,E0474,Sales,54,Other,Bachelor,18,1,49,74,4,1,2
474,474,E0475,Operations,41,Female,Bachelor,29,1,39,70,3,8,2
475,475,E0476,Operations,33,Male,Bachelor,32,0,40,73,8,9,9
476,476,E0477,Finance,22,Female,Bachelor,17,1,38,74,8,6,6
477,477,E0478,Marketing,47,Female,Bachelor,27,1,38,94,4,5,5
478,478,E0479,Support,35,Other,Master,10,1,34,95,9,6,6
479,479,E0480,Support,59,Female,Master,32,1,30,81,3,6,9
480,480,E0481,Finance,58,Other,Master,16,1,46,81,6,9,7
481,481,E0482,IT,32,Male,PhD,5,0,31,54,5,4,9
482,482,E0483,IT,57,Other,High School,3,1,42,85,3,2,4
483,483,E0484,Support,34,Male,Bachelor,19,1,38,95,9,9,2
484,484,E0485,Support,24,Other,High School,26,0,33,91,1,2,8
485,485,E0486,Operations,54,Female,Bachelor,14,0,34,98,0,9,4
486,486,E0487,Marketing,27,Other,Master,5,0,40,91,3,2,9
487,487,E0488,Sales,31,Other,Bachelor,13,1,48,88,3,8,4
488,488,E0489,IT,26,Male,Master,10,0,32,65,0,9,8
489,489,E0490,Support,44,Female,High School,8,1,41,82,5,9,9
490,490,E0491,Operations,31,Other,Master,25,1,48,98,3,9,9
491,491,E0492,HR,23,Female,Bachelor,15,1,48,70,0,2,4
492,492,E0493,Operations,34,Other,Bachelor,4,1,42,58,0,4,1
493,493,E0494,IT,23,Other,Bachelor,9,1,36,55,0,7,3
494,494,E0495,IT,41,Female,Bachelor,2,1,44,94,7,2,9
495,495,E0496,Operations,22,Other,Bachelor,12,0,36,84,9,1,4
496,496,E0497,Sales,58,Female,Bachelor,29,0,37,88,7,3,5
497,497,E0498,Finance,30,Other,Master,5,0,34,71,1,4,7
498,498,E0499,IT,38,Male,Bachelor,16,1,43,90,6,8,5
499,499,E0500,Operations,30,Female,Bachelor,18,0,33,54,7,6,4
