,EmployeeID,Department,Age,Gender,Education,ExperienceYears,RemoteWork,HoursPerWeek,PerformanceScore,Absences,ProjectsCompleted,Satisfaction
400,E0401,HR,28,Other,Bachelor,32,Yes,47,76,7,6,7
401,E0402,Finance,24,Other,Bachelor,2,No,48,95,2,4,7
402,E0403,HR,44,Female,Master,18,Yes,35,57,6,6,2
403,E0404,Marketing,39,Female,Bachelor,22,No,47,95,0,4,7
404,E0405,Finance,59,Male,High School,28,No,35,91,0,4,1
405,E0406,Marketing,56,Male,Bachelor,29,No,33,66,6,4,5
406,E0407,Sales,36,Female,Master,24,No,41,58,9,9,9
407,E0408,Sales,46,Other,Bachelor,7,Yes,48,55,8,7,7
408,E0409,Finance,58,Other,Master,15,Yes,31,92,6,3,7
409,E0410,Finance,49,Other,PhD,7,Yes,46,74,9,3,2
410,E0411,Operations,31,Other,High School,0,Yes,40,88,4,6,8
411,E0412,HR,38,Male,Master,4,No,40,98,7,6,3
412,E0413,Operations,43,Female,Bachelor,2,No,45,77,1,4,8
413,E0414,HR,47,Other,Master,0,No,31,82,8,9,3
414,E0415,Operations,46,Male,Bachelor,3,Yes,31,86,5,4,7
415,E0416,Marketing,38,Other,Master,34,Yes,37,58,8,9,2
416,E0417,Finance,34,Female,Master,31,Yes,42,67,1,4,4
417,E0418,Sales,41,Male,Master,33,Yes,39,70,2,2,6
418,E0419,HR,46,Female,Master,24,No,37,51,7,2,9
419,E0420,HR,25,Female,Bachelor,9,Yes,33,92,0,5,5
420,E0421,Sales,31,Male,Bachelor,20,Yes,44,87,9,4,9
421,E0422,Operations,24,Male,Master,26,Yes,30,89,6,7,5
422,E0423,HR,39,Male,Bachelor,26,No,40,85,6,5,8
423,E0424,Support,57,Male,High School,1,No,36,99,0,6,1
424,E0425,Marketing,43,Male,Master,12,Yes,46,92,8,4,7
425,E0426,Finance,55,Male,Master,8,Yes,49,86,7,2,4
426,E0427,Sales,29,Male,Master,21,Yes,47,64,3,9,5
427,E0428,Finance,40,Other,Bachelor,25,Yes,41,77,9,7,6
428,E0429,Support,58,Female,Master,11,No,38,67,4,4,5
429,E0430,HR,27,Male,Bachelor,16,No,34,83,1,3,1
430,E0431,HR,47,Other,Master,13,Yes,39,71,8,3,9
431,E0432,Support,55,Other,Bachelor,13,Yes,33,60,5,9,2
432,E0433,Sales,27,Other,Master,33,No,34,62,2,5,9
433,E0434,Marketing,58,Female,PhD,19,Yes,39,53,6,3,2
434,E0435,IT,54,Male,High School,10,No,40,71,8,5,9
435,E0436,Sales,43,Other,PhD,15,Yes,39,56,2,2,6
436,E0437,IT,42,Female,Bachelor,30,Yes,37,92,1,4,9
437,E0438,Support,27,Female,Master,5,Yes,31,73,6,2,6
438,E0439,Operations,27,Female,Master,18,Yes,37,53,6,2,6
439,E0440,IT,25,Other,Bachelor,3,No,45,77,3,8,2
440,E0441,Marketing,51,Male,Master,3,Yes,34,64,8,1,8
441,E0442,Operations,32,Other,Master,19,Yes,32,50,7,7,3
442,E0443,IT,51,Other,Bachelor,9,Yes,41,52,0,5,7
443,E0444,Support,52,Male,Bachelor,23,Yes,42,63,0,8,5
444,E0445,Operations,45,Male,Master,34,Yes,42,87,4,1,3
445,E0446,Support,30,Male,Master,25,Yes,39,99,5,7,1
446,E0447,IT,24,Female,Master,20,No,33,50,2,5,8
447,E0448,Support,52,Male,Master,20,Yes,38,87,8,4,3
448,E0449,Marketing,58,Other,Bachelor,9,Yes,31,87,9,7,2
449,E0450,IT,57,Male,Master,3,No,48,70,5,2,1
450,E0451,IT,45,Other,Bachelor,19,Yes,30,97,3,1,4
451,E0452,IT,52,Female,Bachelor,16,No,36,78,6,1,8
452,E0453,Sales,27,Other,High School,6,Yes,46,54,7,1,3
453,E0454,Sales,23,Other,Bachelor,3,No,32,98,8,5,1
454,E0455,Sales,41,Male,Bachelor,28,No,49,59,5,7,4
455,E0456,Marketing,49,Male,Bachelor,13,No,49,77,5,2,9
456,E0457,Operations,32,Other,Master,2,No,32,70,7,8,1
457,E0458,Support,25,Male,Bachelor,23,Yes,32,99,4,4,2
458,E0459,HR,36,Female,Bachelor,15,No,46,56,2,3,9
459,E0460,IT,27,Female,Bachelor,3,Yes,36,52,2,8,2
460,E0461,Support,51,Male,Bachelor,23,Yes,43,94,5,2,3
461,E0462,IT,59,Female,Bachelor,33,Yes,46,96,1,3,7
462,E0463,Marketing,23,Male,High School,29,Yes,47,69,5,3,3
463,E0464,IT,36,Other,Bachelor,17,Yes,42,68,5,1,9
464,E0465,Sales,32,Other,Master,18,Yes,49,84,7,6,6
465,E0466,HR,29,Female,Bachelor,30,Yes,49,53,6,2,3
466,E0467,Finance,47,Male,Bachelor,18,No,47,54,7,1,9
467,E0468,IT,26,Male,Bachelor,18,No,33,50,8,2,1
468,E0469,Support,27,Female,Master,21,Yes,30,53,5,6,3
469,E0470,Sales,47,Other,Bachelor,23,Yes,47,61,2,4,1
470,E0471,Finance,25,Female,Bachelor,11,Yes,30,76,9,6,2
471,E0472,HR,40,Other,High School,29,Yes,42,91,2,9,8
472,E0473,Finance,41,Male,Bachelor,30,Yes,49,72,0,8,7
473,E0474,Sales,54,Other,Bachelor,18,Yes,49,74,4,1,2
474,E0475,Operations,41,Female,Bachelor,29,Yes,39,70,3,8,2
475,E0476,Operations,33,Male,Bachelor,32,No,40,73,8,9,9
476,E0477,Finance,22,Female,Bachelor,17,Yes,38,74,8,6,6
477,E0478,Marketing,47,Female,Bachelor,27,Yes,38,94,4,5,5
478,E0479,Support,35,Other,Master,10,Yes,34,95,9,6,6
479,E0480,Support,59,Female,Master,32,Yes,30,81,3,6,9
480,E0481,Finance,58,Other,Master,16,Yes,46,81,6,9,7
481,E0482,IT,32,Male,PhD,5,No,31,54,5,4,9
482,E0483,IT,57,Other,High School,3,Yes,42,85,3,2,4
483,E0484,Support,34,Male,Bachelor,19,Yes,38,95,9,9,2
484,E0485,Support,24,Other,High School,26,No,33,91,1,2,8
485,E0486,Operations,54,Female,Bachelor,14,No,34,98,0,9,4
486,E0487,Marketing,27,Other,Master,5,No,40,91,3,2,9
487,E0488,Sales,31,Other,Bachelor,13,Yes,48,88,3,8,4
488,E0489,IT,26,Male,Master,10,No,32,65,0,9,8
489,E0490,Support,44,Female,High School,8,Yes,41,82,5,9,9
490,E0491,Operations,31,Other,Master,25,Yes,48,98,3,9,9
491,E0492,HR,23,Female,Bachelor,15,Yes,48,70,0,2,4
492,E0493,Operations,34,Other,Bachelor,4,Yes,42,58,0,4,1
493,E0494,IT,23,Other,Bachelor,9,Yes,36,55,0,7,3
494,E0495,IT,41,Female,Bachelor,2,Yes,44,94,7,2,9
495,E0496,Operations,22,Other,Bachelor,12,No,36,84,9,1,4
496,E0497,Sales,58,Female,Bachelor,29,No,37,88,7,3,5
497,E0498,Finance,30,Other,Master,5,No,34,71,1,4,7
498,E0499,IT,38,Male,Bachelor,16,Yes,43,90,6,8,5
499,E0500,Operations,30,Female,Bachelor,18,No,33,54,7,6,4
